                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.5916,                0.90624,                0.88825,                 0.9532,                0.80464,                 0.8781,                0.43612,                 1.6392,                0.80228,                0.92202,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.5492,                0.88431,                0.89548,                0.92046,                0.83223,                0.88312,                0.44466,                 1.6143,                0.78877,                0.92132,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.6031,                0.90392,                0.88609,                0.94853,                0.80355,                0.88805,                0.44083,                 1.6394,                0.78973,                0.92603,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.6143,                0.91699,                0.89495,                0.90947,                0.81034,                0.88311,                0.43491,                  1.668,                0.82092,                 0.9269,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.5344,                0.85109,                0.88928,                 0.9229,                0.83909,                0.90319,                0.45913,                 1.6097,                0.80065,                0.91944,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.5521,                0.87222,                0.89114,                0.95388,                 0.8159,                0.90897,                0.44662,                 1.6418,                0.79116,                0.92443,               0.000307,               0.000307,               0.000307
                     73,                 1.5757,                0.87553,                0.89147,                0.93688,                0.81294,                0.89516,                0.44464,                 1.6299,                0.77752,                0.91697,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.5424,                0.86201,                0.88391,                0.91821,                 0.8315,                0.89283,                0.43502,                 1.7026,                0.79804,                0.93203,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.5026,                0.84597,                0.87491,                 0.9197,                0.83027,                 0.8761,                0.45646,                 1.6073,                 0.7789,                0.91794,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.5156,                0.85305,                0.88641,                0.95113,                0.82235,                0.89695,                 0.4745,                 1.6029,                0.77114,                0.91584,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.5495,                0.86758,                0.87908,                0.92682,                0.83199,                0.89425,                0.47539,                 1.6144,                0.75945,                0.92435,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.5378,                0.84599,                0.88612,                0.93531,                0.84578,                0.90057,                0.46304,                  1.609,                0.74512,                0.91824,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.5442,                0.84081,                0.88004,                0.90535,                 0.8851,                0.91367,                0.44799,                  1.651,                0.75749,                0.92137,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.5378,                 0.8205,                0.88637,                0.91431,                0.85927,                0.90412,                0.45182,                 1.6378,                0.78619,                0.92649,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.5328,                0.84426,                0.87566,                0.91521,                0.86116,                0.90493,                0.46421,                 1.6354,                0.77165,                0.92319,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.4751,                0.80895,                0.87624,                0.91172,                0.85539,                0.90299,                0.45828,                 1.6228,                0.75704,                0.92672,               0.000208,               0.000208,               0.000208
                     83,                 1.4876,                0.80956,                0.87571,                0.92186,                0.85003,                 0.9048,                0.46445,                  1.613,                0.74294,                0.92091,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.4617,                0.80477,                0.87861,                 0.9352,                 0.8265,                0.90727,                0.45687,                 1.6378,                0.75291,                0.92727,              0.0001882,              0.0001882,              0.0001882
                     85,                  1.486,                0.80249,                0.87782,                0.93936,                0.82488,                0.91496,                0.46076,                 1.6651,                0.75325,                0.92657,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.4946,                0.82501,                 0.8683,                0.95065,                 0.8229,                0.91533,                0.46051,                 1.6436,                0.76227,                0.92784,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.4918,                0.81753,                0.88227,                0.94654,                0.82741,                0.91649,                0.47039,                   1.62,                0.73635,                0.92089,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.5047,                0.81869,                 0.8727,                0.94918,                0.82799,                0.91081,                0.46351,                 1.6178,                0.73609,                0.92259,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.4542,                0.77492,                 0.8714,                0.92917,                0.84138,                0.92072,                0.45895,                 1.6277,                0.74402,                0.92082,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.4746,                0.80478,                0.87313,                0.93798,                0.84151,                 0.9113,                0.46527,                 1.6256,                0.74106,                0.92075,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.4588,                 0.7904,                0.88483,                0.94419,                0.83078,                0.91046,                0.47542,                 1.5983,                0.75107,                0.92811,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.4161,                0.73822,                0.88465,                0.92154,                0.82136,                0.89805,                0.45444,                 1.6672,                0.78508,                0.93234,               0.000109,               0.000109,               0.000109
                     93,                 1.3893,                0.74178,                 0.8819,                0.91984,                0.82782,                0.89557,                 0.4585,                 1.6392,                 0.7826,                 0.9231,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.4015,                0.72681,                0.88163,                0.94037,                0.82821,                0.90097,                0.45729,                 1.6211,                0.76616,                0.92384,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.3932,                0.72539,                 0.8719,                0.94047,                0.82372,                0.89949,                0.45585,                 1.6275,                0.75023,                0.92208,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.3651,                0.72757,                0.87052,                0.91373,                0.84265,                0.89522,                0.46142,                 1.6101,                0.75069,                0.91884,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                 1.3627,                0.70291,                0.87473,                0.93093,                0.82738,                0.90339,                0.46128,                 1.6003,                0.73913,                0.91891,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.3575,                0.69725,                0.87846,                0.94575,                0.82284,                0.89927,                 0.4681,                 1.5792,                0.73566,                0.91608,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                 1.3432,                0.69602,                0.87038,                0.94014,                0.82463,                0.90365,                0.46713,                 1.5901,                0.73861,                  0.916,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                  1.351,                0.70489,                0.87897,                0.91807,                0.84044,                0.89851,                0.45783,                 1.6019,                0.74496,                 0.9185,               2.98e-05,               2.98e-05,               2.98e-05
